latitude,longitude,port,mmsi,port_unique
57.707388,11.660552,1,265579090,1_2
57.713878,10.59,2,265002000,2_2
57.715135,10.58347,2,219005583,2_2
57.715185,10.58753,2,219013933,2_2
57.715192,10.584083,2,257052890,2_2
57.715288,10.582723,2,219005867,2_2
57.715332,10.584397,2,219024000,2_2
57.715427,10.582285,2,244710047,2_2
57.715498,10.58197,2,257101030,2_2
57.715652,10.587207,2,219033125,2_2
57.715917,10.58591,2,219007027,2_2
57.715983,10.581383,2,257571000,2_2
57.716162,10.58643,2,219007034,2_2
57.716468,10.585228,2,232043529,2_2
57.716563,10.586998,2,219010873,2_2
57.7173,10.585328,2,219031289,2_2
57.717473,10.587317,2,219002827,2_2
57.71762,10.587003,2,220333000,2_2
57.717623,10.586173,2,219006301,2_2
57.717627,10.590057,2,219015442,2_2
57.717875,10.588098,2,219011018,2_2
57.717877,10.58629,2,219005732,2_2
57.718185,10.587435,2,219013885,2_2
57.71821,10.586918,2,220343000,2_2
57.718262,10.592835,2,219001849,2_2
57.71837,10.599362,2,265019000,2_2
57.718493,10.58949,2,219022257,2_2
57.718883,10.58893,2,219026706,2_2
57.719102,10.588272,2,257102400,2_2
57.719127,10.590042,2,219022000,2_2
57.719155,10.588593,2,258572000,2_2
57.719303,10.600985,2,232009818,2_2
57.719402,10.592358,2,219019067,2_2
57.71987,10.593895,2,219017733,2_2
57.720023,10.594468,2,219032932,2_2
57.72004,10.591787,2,219013964,2_2
57.720177,10.594907,2,219031797,2_2
57.71934,10.604463,3,219022326,3_2
57.719402,10.592358,3,219019067,3_2
57.71987,10.593895,3,219017733,3_2
57.720023,10.594468,3,219032932,3_2
57.72004,10.591792,3,219013964,3_2
57.720177,10.594905,3,219031797,3_2
57.720747,10.603052,3,316100000,3_2
57.939933,11.578483,4,266145000,4_2
57.940163,11.578717,4,266461000,4_2
58.399653,12.320668,5,992651014,5_2
58.402307,12.325447,5,992651012,5_2
55.099735,14.69315,0,219001058,0_3
55.099747,14.693408,0,219000896,0_3
55.099752,14.691738,0,219007671,0_3
55.1001,14.693933,0,219018488,0_3
55.103183,14.692298,0,219023888,0_3
55.10487,14.693033,0,219025523,0_3
55.171417,11.1602,1,219005068,1_3
55.171425,11.159542,1,219027328,1_3
55.184377,14.70291,2,219021300,2_3
55.186432,14.704217,2,219031421,2_3
55.188602,14.70298,2,219027963,2_3
55.188693,14.703223,2,219016821,2_3
55.18875,14.702577,2,219028881,2_3
55.188793,14.703533,2,219027084,2_3
55.188813,14.702595,2,219034145,2_3
55.197663,11.257218,3,219015425,3_3
55.19874,11.256963,3,636020365,3_3
55.199048,11.256395,3,219022265,3_3
55.207567,12.15839,4,219007572,4_3
55.213762,12.160203,4,219031754,4_3
55.2142,12.163205,4,245257000,4_3
55.208027,11.716407,5,219031721,5_3
